pos_group,bracket,age,pct_overall,pct_pace,pct_shooting,pct_passing,pct_dribbling,pct_defending,pct_physic,sample_size
AM,50-59,16,0.9839713666423193,0.9940801162392071,0.9865920378593043,0.9769914816254578,0.9815267158265992,0.9705755843627003,0.9740213740273549,44
AM,50-59,17,0.9895649581173146,0.9890694797828629,0.9871384916369542,0.9915007372913978,0.9901725198859138,0.9801260884432299,0.9852309493309035,419
AM,50-59,18,0.990032516164706,0.9911902309663104,0.9887421622016275,0.9896586393308954,0.9889715735218387,0.9787271948916351,0.9840262638328063,887
AM,50-59,19,0.9939964154674706,0.9917732523336066,0.9925957740788764,0.9942271791676252,0.9929502262438331,0.983050954228838,0.9884030601809562,1138
AM,50-59,20,0.9929661794151164,0.9928751003130994,0.9885991007110295,0.9929231225204815,0.9921960297252449,0.9857066630588314,0.987289323924295,867
AM,50-59,21,0.9923921535654161,0.9907290229571183,0.9915539582091035,0.9892945132587547,0.992312934610787,0.9805054703597179,0.9846614477254381,857
AM,50-59,22,0.9919024017187633,0.9905286278355384,0.9922676155272362,0.9913648940378268,0.9918346092856549,0.9738217447846385,0.9799963290173906,688
AM,50-59,23,0.9943809761582952,0.9878850314210859,0.9912001717122751,0.9937619001661023,0.9954309732580775,0.9822615054391421,0.9891094628210444,436
AM,50-59,24,0.9984626137942786,0.9921498938560528,0.9970114956505186,0.9959779277181673,0.9962892599080313,0.9800934744714694,0.9930603053583917,215
AM,50-59,25,0.9924821961568251,0.9939465925596168,0.9873413356493558,0.9882120951852545,0.9898119016860601,0.9794177161845198,0.9895788023586547,210
AM,50-59,26,0.9897546599018932,0.9847555662641344,0.9852740361835824,0.9891229472880545,0.9917317818956253,0.9625727722030524,0.9859751505394918,115
AM,50-59,27,0.9933618208812406,0.9866530931072983,0.9888752572692932,0.9892907488432195,0.9869174755789727,0.9854939194424076,0.9847239800364447,118
AM,50-59,28,0.991710523637618,0.9888014697847751,0.9899733313767095,0.9955976978657417,0.9941576349535899,0.9647777558846065,0.9885837138687266,67
